//============================================================
//  OpenMU Season 6 — Item.txt LOOKUP (no es el Item.txt de MuEmu)
//
//  OpenMU NO lee este archivo. Editarlo NO cambia daño, nombre
//  ni drops del server. El catálogo vive en ItemDefinition (DB).
//
//  Usalo solo para /make:  group = sección,  number = Index
//  Ejemplo: Kris = group 0 index 0            →  /make 0 0
//           Jewel of Bless = group 14 index 13 →  /make 14 13
//           Horn of Dinorant = group 13 index 3 →  /make 13 3
//
//  Extraído de Persistence.Initialization (Season 6 + heredado)
//============================================================

//=====================================
//  SWORDS
//=====================================
0
//Index	Name
61	"Piercing Boots"
62	"Lucky Scale Boots"
63	"Lucky Silk Boots"
64	"Lucky Sphinx Boots"
65	"Lucky Violent Wind Boots"
66	"Lucky Dark Soul Boots"
67	"Lucky Dragon Boots"
68	"Lucky Guardian Boots"
69	"Lucky Legendary Boots"
70	"Lucky Red Wing Boots"
71	"Lucky Atlans Boots"
72	"Lucky Storm Jahad Boots"
73	"Phoenix Soul Boots"
end

//=====================================
//  WINGS / ORBS / JEWEL OF CHAOS
//=====================================
12
//Index	Name
0	"Wings of Elf"
1	"Wings of Heaven"
2	"Wings of Satan"
3	"Wings of Spirits"
4	"Wings of Soul"
5	"Wings of Dragon"
6	"Wings of Darkness"
7	"Orb of Twisting Slash"
8	"Orb of Healing"
9	"Orb of Greater Defense"
10	"Orb of Greater Damage"
11	"Orb of Summoning"
12	"Orb of Rageful Blow"
13	"Orb of Impale"
14	"Orb of Greater Fortitude"
15	"Jewel of Chaos"
16	"Orb of Fire Slash"
17	"Orb of Penetration"
18	"Orb of Ice Arrow"
19	"Orb of Death Stab"
21	"Scroll of FireBurst"
22	"Scroll of Summon"
23	"Scroll of Critical Damage"
24	"Scroll of Electric Spark"
30	"Packed Jewel of Bless"
31	"Packed Jewel of Soul"
35	"Scroll of Fire Scream"
36	"Wing of Storm"
37	"Wing of Eternal"
38	"Wing of Illusion"
39	"Wing of Ruin"
40	"Cape of Emperor"
41	"Wings of Curse"
42	"Seed Creation"
43	"Wing of Dimension"
44	"Crystal of Destruction"
45	"Crystal of Multi-Shot"
46	"Crystal of Recovery"
47	"Crystal of Flame Strike"
48	"Scroll of Chaotic Diseier"
49	"Cape of Fighter"
50	"Cape of Overrule"
136	"Packed Jewel of Life"
137	"Packed Jewel of Creation"
138	"Packed Jewel of Guardian"
139	"Packed Gemstone"
140	"Packed Jewel of Harmony"
141	"Packed Jewel of Chaos"
142	"Packed Lower refine stone"
143	"Packed Higher refine stone"
end

//=====================================
//  PETS / RINGS / PENDANTS
//=====================================
13
//Index	Name
0	"Guardian Angel"
1	"Imp"
2	"Horn of Uniria"
3	"Horn of Dinorant"
4	"Dark Horse"
5	"Dark Raven"
8	"Ring of Ice"
9	"Ring of Poison"
10	"Transformation Ring"
11	"Life Stone"
12	"Pendant of Lighting"
13	"Pendant of Fire"
14	"Loch's Feather"
15	"Fruits"
20	"Wizard's Ring"
21	"Ring of Fire"
22	"Ring of Earth"
23	"Ring of Wind"
24	"Ring of Magic"
25	"Pendant of Ice"
26	"Pendant of Wind"
27	"Pendant of Water"
28	"Pendant of Ability"
32	"Splinter of Armor"
33	"Bless of Guardian"
34	"Claw of Beast"
35	"Fragment of Horn"
36	"Broken Horn"
37	"Horn of Fenrir"
38	"Moonstone Pendant"
39	"Elite Skeleton Transformation Ring"
40	"Jack O'lantern Transformation Ring"
41	"Christmas Transformation Ring"
42	"Game Master Transformation Ring"
53	"Feather of Condor"
64	"Demon"
65	"Spirit of Guardian"
67	"Pet Rudolf"
68	"Snowman Transformation Ring"
76	"Panda Transformation Ring"
80	"Pet Panda"
106	"Pet Unicorn"
122	"Skeleton Transformation Ring"
123	"Pet Skeleton"
end

//=====================================
//  POTIONS / JEWELS / MISC
//=====================================
14
//Index	Name
0	"Apple"
1	"Small Healing Potion"
2	"Medium Healing Potion"
3	"Large Healing Potion"
4	"Small Mana Potion"
5	"Medium Mana Potion"
6	"Large Mana Potion"
7	"Potion of Bless;Potion of Soul"
8	"Antidote"
9	"Ale"
13	"Jewel of Bless"
14	"Jewel of Soul"
16	"Jewel of Life"
28	"Lost Map"
31	"Jewel of Guardian"
35	"Small Shield Potion"
36	"Medium Shield Potion"
37	"Large Shield Potion"
38	"Small Complex Potion"
39	"Medium Complex Potion"
40	"Large Complex Potion"
41	"Gemstone"
42	"Jewel of Harmony"
43	"Lower refine stone"
44	"Higher refine stone"
46	"Jack O'Lantern Blessings"
47	"Jack O'Lantern Wrath"
48	"Jack O'Lantern Cry"
49	"Jack O'Lantern Food"
50	"Jack O'Lantern Drink"
85	"Cherry Blossom Wine"
86	"Cherry Blossom Rice Cake"
94	"Medium Elite Healing Potion"
162	"Inventory Expansion"
end

//=====================================
//  SCROLLS
//=====================================
15
//Index	Name
0	"Scroll of Poison"
1	"Scroll of Meteorite"
2	"Scroll of Lighting"
3	"Scroll of Fire Ball"
4	"Scroll of Flame"
5	"Scroll of Teleport"
6	"Scroll of Ice"
7	"Scroll of Twister"
8	"Scroll of Evil Spirit"
9	"Scroll of Hellfire"
10	"Scroll of Power Wave"
11	"Scroll of Aqua Beam"
12	"Scroll of Cometfall"
13	"Scroll of Inferno"
14	"Scroll of Teleport Ally"
15	"Scroll of Soul Barrier"
16	"Scroll of Decay"
17	"Scroll of Ice Storm"
18	"Scroll of Nova"
19	"Chain Lightning Parchment"
20	"Drain Life Parchment"
21	"Lightning Shock Parchment"
22	"Damage Reflection Parchment"
23	"Berserker Parchment"
24	"Sleep Parchment"
26	"Weakness Parchment"
27	"Innovation Parchment"
28	"Scroll of Wizardry Enhance"
29	"Scroll of Gigantic Storm"
30	"Chain Drive Parchment"
31	"Dark Side Parchment"
32	"Dragon Roar Parchment"
33	"Dragon Slasher Parchment"
34	"Ignore Defense Parchment"
35	"Increase Health Parchment"
36	"Increase Block Parchment"
end

